bin_lo,bin_hi,mid,mean_price,emp_rate,wilson_lo,wilson_hi,n,gap
0.0,0.05,0.025,0.010910330340266228,0.008944543828264758,0.00579764160809546,0.013775885377027059,2236,-0.0019657865120014696
0.05,0.1,0.07500000000000001,0.07215124368667603,0.099644128113879,0.0698424395497873,0.14024485107068385,281,0.027492884427202977
0.1,0.15000000000000002,0.125,0.12159810215234756,0.06329113924050633,0.03473806240261328,0.11257634872530436,158,-0.05830696291184123
0.15000000000000002,0.2,0.17500000000000002,0.17233963310718536,0.1320754716981132,0.08033131841647077,0.20955520909223263,106,-0.04026416140907216
0.2,0.25,0.225,0.22456061840057373,0.29292929292929293,0.21236502469141286,0.3889636205260867,99,0.0683686745287192
0.25,0.30000000000000004,0.275,0.2693920433521271,0.29545454545454547,0.2103072371931576,0.3977135289955849,88,0.026062502102418394
0.30000000000000004,0.35000000000000003,0.32500000000000007,0.3253518342971802,0.3148148148148148,0.2067911428909822,0.44743695591679633,54,-0.01053701948236535
0.35000000000000003,0.4,0.375,0.3779090642929077,0.4090909090909091,0.23255559668820378,0.6126552261710619,22,0.0311818447980014
0.4,0.45,0.42500000000000004,0.4266666769981384,0.36666666666666664,0.21873702204017678,0.5448675356639506,30,-0.06000001033147179
0.45,0.5,0.475,0.47488710284233093,0.3870967741935484,0.23732875351271562,0.5617619885886803,31,-0.08779032864878256
0.5,0.55,0.525,0.5190428495407104,0.4,0.25550504933307244,0.5642758041848053,35,-0.11904284954071043
0.55,0.6000000000000001,0.5750000000000001,0.5712222456932068,0.48148148148148145,0.3074295064970908,0.6601467541378958,27,-0.08974076421172533
0.6000000000000001,0.65,0.625,0.6214286088943481,0.42857142857142855,0.24469699486521043,0.6345378370296754,21,-0.1928571803229196
0.65,0.7000000000000001,0.675,0.6762499809265137,0.6764705882352942,0.5084258404811939,0.8086854867354143,34,0.00022060730878048496
0.7000000000000001,0.75,0.7250000000000001,0.724309504032135,0.8095238095238095,0.599990134607267,0.9233255938482269,21,0.08521430549167452
0.75,0.8,0.775,0.7720475792884827,0.8095238095238095,0.599990134607267,0.9233255938482269,21,0.03747623023532687
0.8,0.8500000000000001,0.8250000000000001,0.81917405128479,0.9130434782608695,0.7320359570190598,0.9758205045927666,23,0.09386942697607947
0.8500000000000001,0.9,0.875,0.8727609515190125,0.9130434782608695,0.7320359570190598,0.9758205045927666,23,0.04028252674185706
0.9,0.9500000000000001,0.925,0.9306851029396057,1.0,0.8754409628553641,1.0,27,0.06931489706039429
0.9500000000000001,1.0,0.9750000000000001,0.9805941581726074,1.0,0.9567589957857582,1.0,85,0.019405841827392578
