label,n_trades,n_events,mean_ret,ci_lo,ci_hi,p_le0,hit_rate,total_pnl_per_$1_stakes,max_concurrent_stakes,ann_ret_on_capital,sharpe_ann_weekly,n_weeks,max_drawdown_$,median_market_volume,span_days,cell
mom δ=0.15 against hold=3d,445,303,0.05936036636629426,-0.0014599821385031565,0.11965781899375322,0.0295,0.5213483146067416,26.415363033000943,11,1.1998761062541545,1.5169501680474846,87,-14.716253576291326,1727507.99,730.5002314814815,mom δ=0.15 against hold=3d
mom δ=0.1 against hold=3d,543,353,0.048166272933567136,-0.002430417672507376,0.10147959618834358,0.0325,0.5488029465930019,26.154286202926954,15,0.8700216312993784,1.3485430565854393,90,-8.169684480103442,1771167.205158,731.5001620370371,mom δ=0.1 against hold=3d
mom δ=0.15 against hold=7d,445,303,0.07080790517926698,-0.0041319903688912234,0.1501080905283795,0.032,0.5348314606741573,31.509517804773807,19,0.8241172959991756,1.5792127066139001,84,-17.45198429082774,1727507.99,734.5003240740741,mom δ=0.15 against hold=7d
mom δ=0.1 against hold=7d,543,353,0.059179520938985736,-0.0057933848949064,0.1273366576193921,0.04,0.5046040515653776,32.13447986986925,20,0.7973541797733465,1.3844548236353573,89,-7.822151895266327,1771167.205158,735.5003240740741,mom δ=0.1 against hold=7d
mom δ=0.05 against hold=res,625,398,0.08211662966289568,-0.0248495709478862,0.18973805456106618,0.07025,0.5536,51.3228935393098,135,0.15190135776086755,1.1052828313006529,99,-28.640612889692342,1908688.199133,913.5000462962963,mom δ=0.05 against hold=res
mom δ=0.05 against hold=3d,625,398,0.0016635987935360178,-0.03544412815309934,0.040384115549770616,0.48425,0.496,1.039749245960011,15,0.0345872341524337,0.05786238622068404,92,-14.376649412065774,1908688.199133,731.5000925925926,mom δ=0.05 against hold=3d
mom δ=0.05 against hold=7d,625,398,0.007860480704277738,-0.039969298641713794,0.053465519477123365,0.38525,0.5248,4.912800440173586,22,0.11097044182716807,0.23564234762955433,90,-14.594476386607989,1908688.199133,734.5003240740741,mom δ=0.05 against hold=7d
mom δ=0.1 against hold=res,543,353,0.059386891568812626,-0.05331471268070937,0.18503510837194817,0.15425,0.5027624309392266,32.247082121865255,111,0.11607848615084418,0.7229963983154045,96,-23.000867891190698,1771167.205158,913.5000462962963,mom δ=0.1 against hold=res
mom δ=0.05 with hold=res,625,398,0.04971777764094377,-0.07129712049630677,0.1800499018090733,0.23075,0.4464,31.073611025589855,135,0.09196916580131775,0.4536605749583089,99,-47.20174045248887,1908688.199133,913.5000462962963,mom δ=0.05 with hold=res
mom δ=0.1 with hold=res,543,353,0.025284348516606256,-0.07671930839011397,0.13042251794961096,0.32675,0.4972375690607735,13.729401244517197,111,0.04942115712045979,0.32845242156292703,96,-33.29435085814562,1771167.205158,913.5000462962963,mom δ=0.1 with hold=res
mom δ=0.15 against hold=res,445,303,0.0398752871453774,-0.0906680522129035,0.17803559679748002,0.2775,0.46292134831460674,17.744502779692944,85,0.08341212770978788,0.4514626772978911,90,-31.026680288082638,1727507.99,913.5000462962963,mom δ=0.15 against hold=res
mom δ=0.05 with hold=3d,625,398,-0.05127369358957533,-0.09917922790266508,-0.00070950274024381,0.97775,0.3392,-32.04605849348458,15,-1.0660113802278885,-1.3965726032607282,92,-41.4731907738893,1908688.199133,731.5000925925926,mom δ=0.05 with hold=3d
mom δ=0.05 with hold=7d,625,398,-0.04228395170350053,-0.10594843868946656,0.02774163504488244,0.88375,0.3696,-26.427469814687832,22,-0.5969442556079959,-0.9795655093976238,90,-46.003828374363394,1908688.199133,734.5003240740741,mom δ=0.05 with hold=7d
mom δ=0.1 with hold=7d,543,353,-0.06352430749026332,-0.1237565814282557,0.00041314728954878175,0.97425,0.4106813996316759,-34.49369896721298,20,-0.8558935809363931,-1.5698732748392723,89,-47.840242364997906,1771167.205158,735.5003240740741,mom δ=0.1 with hold=7d
mom δ=0.1 with hold=3d,543,353,-0.07400198617549601,-0.12946645390789924,-0.017113925487356248,0.991,0.3425414364640884,-40.18307849329433,15,-1.336689031775391,-1.899666259237834,90,-48.139398167076024,1771167.205158,731.5001620370371,mom δ=0.1 with hold=3d
mom δ=0.15 with hold=res,445,303,-0.04114208998529299,-0.1362076820956128,0.05892105205981303,0.797,0.5370786516853933,-18.30823004345538,85,-0.08606205772486016,-0.5705204273247574,90,-33.44700117195736,1727507.99,913.5000462962963,mom δ=0.15 with hold=res
mom δ=0.15 with hold=3d,445,303,-0.08970360288917516,-0.14092239025277967,-0.034162338716771615,0.999,0.36179775280898874,-39.918103285682946,11,-1.8132167360198141,-2.247130776375978,87,-45.84029545060951,1727507.99,730.5002314814815,mom δ=0.15 with hold=3d
mom δ=0.15 with hold=7d,445,303,-0.09790905959965421,-0.15965324175127507,-0.03180228639088455,0.99825,0.39775280898876403,-43.56953152184612,19,-1.1395415419621155,-2.2007584258394908,84,-49.34316232872885,1727507.99,734.5003240740741,mom δ=0.15 with hold=7d
