label,n_trades,n_events,mean_ret,ci_lo,ci_hi,p_le0,hit_rate,total_pnl_per_$1_stakes,max_concurrent_stakes,ann_ret_on_capital,sharpe_ann_weekly,n_weeks,max_drawdown_$,median_market_volume,span_days,cell
fav θ=0.93 W=1d yes,532,505,0.01196062486399232,1.3674940713175568e-05,0.021725732601122833,0.025,0.9849624060150376,6.363052427643915,76,0.05882454720485475,1.6366751353262072,75,-1.6771000579147248,105608.2569965,519.5007523148148,fav θ=0.93 W=1d yes
fav θ=0.93 W=7d yes,789,750,0.009394782203916987,-0.0025550768967044766,0.020240565638591383,0.0575,0.9746514575411914,7.4124831588905025,90,0.05372957432340593,1.274192622651345,76,-3.6902990887050615,110449.14,559.5007523148148,fav θ=0.93 W=7d yes
fav θ=0.95 W=7d yes,650,625,0.0070617857887546225,-0.0032155842301609216,0.01616877546013325,0.08625,0.9846153846153847,4.5901607626905045,79,0.038006588166176816,1.1357892726103216,76,-1.723294095648654,122840.797914,558.0007523148148,fav θ=0.95 W=7d yes
fav θ=0.9 W=3d yes,755,713,0.010141027864016479,-0.003366955600199058,0.02311403825706447,0.06925,0.9682119205298013,7.656476037332441,88,0.05716819345553146,1.203714424702109,76,-3.531579355083802,104859.208495,555.5007523148148,fav θ=0.9 W=3d yes
fav θ=0.9 W=7d yes,905,855,0.009159295142254492,-0.0041013776748778236,0.02104671122236071,0.0885,0.9624309392265193,8.289162103740315,97,0.055748230648939,1.0939671465302736,76,-3.3260818628640036,105948.979378,559.5007523148148,fav θ=0.9 W=7d yes
fav θ=0.9 W=1d yes,608,573,0.009440958106708084,-0.004386272058136805,0.02197371499845804,0.0875,0.9736842105263158,5.7401025288785155,82,0.04913542194853606,1.070150146364711,75,-2.770471859001477,104738.16560050001,520.0007523148148,fav θ=0.9 W=1d yes
fav θ=0.97 W=1d yes,331,317,0.004547148817916142,-0.00483115308678235,0.011049469104211137,0.1375,0.9939577039274925,1.505106258730243,55,0.019245507106684996,0.7922710241918621,72,-1.7854938301647567,117537.23,519.0007407407408,fav θ=0.97 W=1d yes
fav θ=0.93 W=3d yes,666,632,0.0069157101123110834,-0.005870087575992626,0.018347542369651065,0.1375,0.975975975975976,4.605862934799181,84,0.03602798196462639,0.875503694623236,76,-3.8454899918031282,106241.9861005,555.5007523148148,fav θ=0.93 W=3d yes
fav θ=0.95 W=1d yes,421,403,0.005105127331724904,-0.006667361408056944,0.014785280666858124,0.157,0.9881235154394299,2.1492586066561845,67,0.022538268868917535,0.7117605501314006,75,-2.3086357601004313,120831.511478,519.5007523148148,fav θ=0.95 W=1d yes
fav θ=0.97 W=7d yes,514,496,0.0015869630205235885,-0.008652635774994838,0.00982947706984841,0.37125,0.9883268482490273,0.8156989925491245,65,0.008708093581546603,0.26810784218674194,74,-1.670929947757395,116965.19384200001,526.0007291666667,fav θ=0.97 W=7d yes
