bin_lo,bin_hi,mid,mean_price,emp_rate,wilson_lo,wilson_hi,n,gap
0.0,0.05,0.025,0.01515302062034607,0.010674540086304793,0.00873139904689191,0.013044429476517636,8806,-0.0044784805340412764
0.05,0.1,0.07500000000000001,0.07147696614265442,0.05975877192982456,0.04977777364544689,0.07159029238390709,1824,-0.011718194212829859
0.1,0.15000000000000002,0.125,0.12276922166347504,0.10228233305156383,0.0862819704888951,0.12085738155269157,1183,-0.02048688861191121
0.15000000000000002,0.2,0.17500000000000002,0.17223703861236572,0.1710646041856233,0.14995598458382026,0.19446482797892678,1099,-0.0011724344267424192
0.2,0.25,0.225,0.22312697768211365,0.21008403361344538,0.1867441627773566,0.23549628641999495,1071,-0.013042944068668266
0.25,0.30000000000000004,0.275,0.2700332701206207,0.26188418323249785,0.23736772031398867,0.2879766505286827,1157,-0.00814908688812288
0.30000000000000004,0.35000000000000003,0.32500000000000007,0.32391658425331116,0.3239263803680982,0.2926882280786779,0.35681663342322933,815,9.796114787019583e-06
0.35000000000000003,0.4,0.375,0.3744308352470398,0.3922942206654991,0.35309265610277424,0.4329353557878057,571,0.017863385418459332
0.4,0.45,0.42500000000000004,0.42610400915145874,0.4208,0.382694105463553,0.4598735618154567,625,-0.005304009151458733
0.45,0.5,0.475,0.4794574975967407,0.41086350974930363,0.3754432331026283,0.4472325450736364,718,-0.06859398784743709
0.5,0.55,0.525,0.5125126242637634,0.4921135646687697,0.4604345379102719,0.5238560501830829,951,-0.020399059594993718
0.55,0.6000000000000001,0.5750000000000001,0.5722137093544006,0.5601659751037344,0.515549789964613,0.6038306830125878,482,-0.012047734250666187
0.6000000000000001,0.65,0.625,0.6240715980529785,0.6553398058252428,0.6082027620096152,0.699606750073832,412,0.031268207772264245
0.65,0.7000000000000001,0.675,0.6779773235321045,0.6940509915014165,0.6441041263242461,0.7398197211195497,353,0.016073667969311978
0.7000000000000001,0.75,0.7250000000000001,0.7255278825759888,0.7306501547987616,0.6797677508316619,0.7761105706549541,323,0.005122272222772839
0.75,0.8,0.775,0.7717032432556152,0.8096774193548387,0.7622904681951506,0.8494831144019304,310,0.03797417609922349
0.8,0.8500000000000001,0.8250000000000001,0.8220133185386658,0.8133333333333334,0.7653802718106468,0.8533631787241056,300,-0.008679985205332419
0.8500000000000001,0.9,0.875,0.8753327131271362,0.8943661971830986,0.8532059402228955,0.924999850739912,284,0.01903348405596239
0.9,0.9500000000000001,0.925,0.9288760423660278,0.9475218658892128,0.9185794810106105,0.9665507917133072,343,0.018645823523185
0.9500000000000001,1.0,0.9750000000000001,0.9806821346282959,0.9936642027455121,0.9862462438371313,0.9970931472875313,947,0.01298206811721625
