bin_lo,bin_hi,mid,mean_price,emp_rate,wilson_lo,wilson_hi,n,gap
0.0,0.05,0.025,0.01239971723407507,0.00835102618542109,0.0069784288276859615,0.009990885445653566,14130,-0.00404869104865398
0.05,0.1,0.07500000000000001,0.07085088640451431,0.08806050783360346,0.07598886329326188,0.10183850482270015,1851,0.017209621429089147
0.1,0.15000000000000002,0.125,0.12353182584047318,0.15247964470762398,0.13429743715753883,0.17263261282025932,1351,0.02894781886715081
0.15000000000000002,0.2,0.17500000000000002,0.17441131174564362,0.21082621082621084,0.1902934084416905,0.23293715954266228,1404,0.03641489908056722
0.2,0.25,0.225,0.22473156452178955,0.25222363405336723,0.23138934961405264,0.2742644498547915,1574,0.02749206953157768
0.25,0.30000000000000004,0.275,0.27317872643470764,0.29714912280701755,0.27662007861615934,0.318530835992634,1824,0.02397039637230991
0.30000000000000004,0.35000000000000003,0.32500000000000007,0.325234591960907,0.35475578406169667,0.3313674147094905,0.37885957244099977,1556,0.029521192100789684
0.35000000000000003,0.4,0.375,0.37528592348098755,0.41160949868073876,0.3870900438735439,0.4365757907765932,1516,0.03632357519975121
0.4,0.45,0.42500000000000004,0.4258788824081421,0.46487603305785125,0.44274978906799944,0.4871413937997151,1936,0.038997150649709156
0.45,0.5,0.475,0.47460252046585083,0.47055837563451774,0.4485956829763699,0.4926356701372739,1970,-0.004044144831333085
0.5,0.55,0.525,0.5199564099311829,0.5099457504520796,0.48911377028150643,0.530743244768667,2212,-0.01001065947910329
0.55,0.6000000000000001,0.5750000000000001,0.5716833472251892,0.5620915032679739,0.5371064023715413,0.5867655802373539,1530,-0.009591843957215351
0.6000000000000001,0.65,0.625,0.6240200996398926,0.6333333333333333,0.6053256537393195,0.6604683000616023,1170,0.009313233693440726
0.65,0.7000000000000001,0.675,0.6760421991348267,0.6784188034188035,0.6478183305862004,0.7075607034978411,936,0.002376604283976791
0.7000000000000001,0.75,0.7250000000000001,0.7245155572891235,0.7283311772315654,0.6959011363713209,0.758502953213995,773,0.003815619942441839
0.75,0.8,0.775,0.7726610898971558,0.7531380753138075,0.7202826045300719,0.7832954353610775,717,-0.019523014583348264
0.8,0.8500000000000001,0.8250000000000001,0.8221599459648132,0.8051470588235294,0.7697703146522191,0.8362442705855576,544,-0.017012887141283795
0.8500000000000001,0.9,0.875,0.8739361763000488,0.8704761904761905,0.8390402496980114,0.8965297205917693,525,-0.0034599858238583137
0.9,0.9500000000000001,0.925,0.9273160099983215,0.9066427289048474,0.8796183473463328,0.9280963442885246,557,-0.020673281093474105
0.9500000000000001,1.0,0.9750000000000001,0.9824801683425903,0.9799314733235438,0.9728889797242172,0.9851724550248125,2043,-0.002548695019046532
