bin_lo,bin_hi,mid,mean_price,emp_rate,wilson_lo,wilson_hi,n,gap
0.0,0.05,0.025,0.013114598579704762,0.011557177615571776,0.009464058300399349,0.014106629150584627,8220,-0.0015574209641329856
0.05,0.1,0.07500000000000001,0.07144268602132797,0.08616600790513834,0.07192795775313743,0.10290994163477671,1265,0.01472332188381037
0.1,0.15000000000000002,0.125,0.1228291243314743,0.13626373626373625,0.11549690532211888,0.16008871039071357,910,0.013434611932261947
0.15000000000000002,0.2,0.17500000000000002,0.17237426340579987,0.1972318339100346,0.17210537589619196,0.22502953359825573,867,0.024857570504234733
0.2,0.25,0.225,0.22383169829845428,0.256989247311828,0.2299442490708597,0.286033621266037,930,0.0331575490133737
0.25,0.30000000000000004,0.275,0.27174532413482666,0.3202979515828678,0.2930753187259788,0.34880155817318703,1074,0.04855262744804112
0.30000000000000004,0.35000000000000003,0.32500000000000007,0.3241601288318634,0.36059907834101385,0.32933342943039257,0.3930932132074445,868,0.03643894950915044
0.35000000000000003,0.4,0.375,0.37528473138809204,0.40555555555555556,0.37028359798857313,0.44182999150393454,720,0.030270824167463517
0.4,0.45,0.42500000000000004,0.4249842166900635,0.4684317718940937,0.4374047490547173,0.49970482311184566,982,0.04344755520403021
0.45,0.5,0.475,0.4774736166000366,0.4856887298747764,0.4564906278993342,0.5149848460000113,1118,0.008215113274739783
0.5,0.55,0.525,0.5162604451179504,0.5060412224591329,0.47993589898994266,0.5321136464728504,1407,-0.010219222658817584
0.55,0.6000000000000001,0.5750000000000001,0.5723166465759277,0.572901325478645,0.5353866846165095,0.6095956948987397,679,0.000584678902717295
0.6000000000000001,0.65,0.625,0.6237207055091858,0.6461232604373758,0.6033712561885806,0.6866601855873117,503,0.02240255492818999
0.65,0.7000000000000001,0.675,0.6762843132019043,0.7083333333333334,0.6624481816287237,0.7503318775008058,408,0.03204902013142907
0.7000000000000001,0.75,0.7250000000000001,0.7243662476539612,0.7558528428093646,0.7041155731361936,0.8010990341040273,299,0.03148659515540342
0.75,0.8,0.775,0.771431565284729,0.7385892116182573,0.6796787720270313,0.7900126529595722,241,-0.0328423536664717
0.8,0.8500000000000001,0.8250000000000001,0.8214837312698364,0.8472222222222222,0.7932105496762286,0.8890988949420785,216,0.025738490952385784
0.8500000000000001,0.9,0.875,0.8738703727722168,0.8624338624338624,0.8060651417991903,0.9043624837753746,189,-0.011436510338354355
0.9,0.9500000000000001,0.925,0.9281517267227173,0.9316239316239316,0.8918271859104874,0.9574775614507818,234,0.0034722049012143597
0.9500000000000001,1.0,0.9750000000000001,0.980393648147583,0.9951298701298701,0.9857800020290806,0.9983423931118716,616,0.014736221982287079
